data_hora,sevidor_nm_site_iis,servidor_nm,servidor_ip,requisicao_method,requisicao_recurso,requisicao_query,requisicao_port,requisicao_usuario,cliente_ip,requisicao_protocolo,requisicao_url_origem,servidor_nm_site,requisicao_cod_resposta,requisicao_dados_enviados,requisicao_dados_recebidos,requisicao_tempo_resposta,arquivo,os_family,os_version,device_family,device_model,device_brand,browser_family,browser_version,cliente_pais
2021-02-22 15:10:19,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16724_1.JPG,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,706.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:10:19,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16726_4.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,706.0,62.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:10:19,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16729_8.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,200.0,440215.0,706.0,78.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:10:19,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16723_1.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,705.0,46.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:10:19,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16730_1.JPG,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,200.0,1772220.0,706.0,343.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:14:10,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16729_8.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,705.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:14:10,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16730_1.JPG,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,706.0,46.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:14:10,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16727_1.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,706.0,46.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:14:10,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/portal/noticias_fotos/n16728_1.jpg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,portais.seed.se.gov.br,304.0,213.0,706.0,46.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg,-,443,-,10.24.1.143,HTTP/1.1,https://www.seduc.se.gov.br/,intranet.seduc.se.gov.br,200.0,3685.0,900.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
